,DateKey,Datetime,Year,Month,Day,Hour
4404,2023030312,2023-03-03 12:00:00,2023,03,03,12
4405,2023030313,2023-03-03 13:00:00,2023,03,03,13
4406,2023030314,2023-03-03 14:00:00,2023,03,03,14
4407,2023030315,2023-03-03 15:00:00,2023,03,03,15
4408,2023030316,2023-03-03 16:00:00,2023,03,03,16
4409,2023030317,2023-03-03 17:00:00,2023,03,03,17
4410,2023030318,2023-03-03 18:00:00,2023,03,03,18
4411,2023030319,2023-03-03 19:00:00,2023,03,03,19
4412,2023030320,2023-03-03 20:00:00,2023,03,03,20
4413,2023030321,2023-03-03 21:00:00,2023,03,03,21
4414,2023030322,2023-03-03 22:00:00,2023,03,03,22
4415,2023030323,2023-03-03 23:00:00,2023,03,03,23
4416,2023030400,2023-03-04 00:00:00,2023,03,04,00
4417,2023030401,2023-03-04 01:00:00,2023,03,04,01
4418,2023030402,2023-03-04 02:00:00,2023,03,04,02
4419,2023030403,2023-03-04 03:00:00,2023,03,04,03
4420,2023030404,2023-03-04 04:00:00,2023,03,04,04
4421,2023030405,2023-03-04 05:00:00,2023,03,04,05
4422,2023030406,2023-03-04 06:00:00,2023,03,04,06
4423,2023030407,2023-03-04 07:00:00,2023,03,04,07
4424,2023030408,2023-03-04 08:00:00,2023,03,04,08
4425,2023030409,2023-03-04 09:00:00,2023,03,04,09
4426,2023030410,2023-03-04 10:00:00,2023,03,04,10
4427,2023030411,2023-03-04 11:00:00,2023,03,04,11
4428,2023030412,2023-03-04 12:00:00,2023,03,04,12
4429,2023030413,2023-03-04 13:00:00,2023,03,04,13
4430,2023030414,2023-03-04 14:00:00,2023,03,04,14
4431,2023030415,2023-03-04 15:00:00,2023,03,04,15
4432,2023030416,2023-03-04 16:00:00,2023,03,04,16
4433,2023030417,2023-03-04 17:00:00,2023,03,04,17
4434,2023030418,2023-03-04 18:00:00,2023,03,04,18
4435,2023030419,2023-03-04 19:00:00,2023,03,04,19
4436,2023030420,2023-03-04 20:00:00,2023,03,04,20
4437,2023030421,2023-03-04 21:00:00,2023,03,04,21
4438,2023030422,2023-03-04 22:00:00,2023,03,04,22
4439,2023030423,2023-03-04 23:00:00,2023,03,04,23
4440,2023030500,2023-03-05 00:00:00,2023,03,05,00
4441,2023030501,2023-03-05 01:00:00,2023,03,05,01
4442,2023030502,2023-03-05 02:00:00,2023,03,05,02
4443,2023030503,2023-03-05 03:00:00,2023,03,05,03
4444,2023030504,2023-03-05 04:00:00,2023,03,05,04
4445,2023030505,2023-03-05 05:00:00,2023,03,05,05
4446,2023030506,2023-03-05 06:00:00,2023,03,05,06
4447,2023030507,2023-03-05 07:00:00,2023,03,05,07
4448,2023030508,2023-03-05 08:00:00,2023,03,05,08
4449,2023030509,2023-03-05 09:00:00,2023,03,05,09
4450,2023030510,2023-03-05 10:00:00,2023,03,05,10
4451,2023030511,2023-03-05 11:00:00,2023,03,05,11
4452,2023030512,2023-03-05 12:00:00,2023,03,05,12
4453,2023030513,2023-03-05 13:00:00,2023,03,05,13
4454,2023030514,2023-03-05 14:00:00,2023,03,05,14
4455,2023030515,2023-03-05 15:00:00,2023,03,05,15
4456,2023030516,2023-03-05 16:00:00,2023,03,05,16
4457,2023030517,2023-03-05 17:00:00,2023,03,05,17
4458,2023030518,2023-03-05 18:00:00,2023,03,05,18
4459,2023030519,2023-03-05 19:00:00,2023,03,05,19
4460,2023030520,2023-03-05 20:00:00,2023,03,05,20
4461,2023030521,2023-03-05 21:00:00,2023,03,05,21
4462,2023030522,2023-03-05 22:00:00,2023,03,05,22
